,date,open,close,high,low,volume,code
0,2018-01-02,17.684,17.986,18.064,17.684,1393284.0,600030
1,2018-01-03,17.908,18.152,18.386,17.899,1519669.0,600030
2,2018-01-04,18.182,18.211,18.377,18.016,1147914.0,600030
3,2018-01-05,18.221,18.416,18.62,18.133,1728848.0,600030
4,2018-01-08,18.533,19.059,19.313,18.445,2489706.0,600030
5,2018-01-09,19.069,18.962,19.381,18.806,1439193.0,600030
6,2018-01-10,18.991,19.128,19.254,18.757,1502584.0,600030
7,2018-01-11,18.981,18.806,19.069,18.65,1133795.0,600030
8,2018-01-12,18.777,18.855,19.098,18.65,1046038.0,600030
9,2018-01-15,18.777,18.972,19.206,18.513,2241354.0,600030
10,2018-01-16,18.786,19.752,19.869,18.718,2330733.0,600030
11,2018-01-17,19.996,20.425,21.352,19.996,4978876.0,600030
12,2018-01-18,20.63,20.883,21.108,20.386,2956692.0,600030
13,2018-01-19,20.835,20.766,21.313,20.405,3630176.0,600030
14,2018-01-22,20.581,20.679,20.913,20.425,1809997.0,600030
15,2018-01-23,20.844,20.688,21.322,20.386,3356645.0,600030
16,2018-01-24,20.874,22.356,22.385,20.63,5070885.0,600030
17,2018-01-25,21.947,21.781,22.288,21.693,3173316.0,600030
18,2018-01-26,21.781,21.79,22.181,21.664,2519974.0,600030
19,2018-01-29,21.917,21.566,22.171,21.469,2644808.0,600030
20,2018-01-30,21.371,21.098,21.79,21.0,2451539.0,600030
21,2018-01-31,20.922,20.766,21.166,20.425,2472534.0,600030
22,2018-02-01,20.874,20.971,21.03,20.493,2786750.0,600030
23,2018-02-02,20.659,20.991,21.098,20.298,2010010.0,600030
24,2018-02-05,20.493,21.254,21.322,20.444,2208919.0,600030
25,2018-02-06,20.718,20.045,21.088,19.879,3364727.0,600030
26,2018-02-07,20.454,19.069,20.503,19.03,2679636.0,600030
27,2018-02-08,19.001,18.767,19.264,18.591,1847440.0,600030
28,2018-02-09,18.123,16.923,18.279,16.894,3478271.0,600030
29,2018-02-12,16.992,16.904,17.118,16.699,1619696.0,600030
30,2018-02-13,17.079,17.187,17.596,17.04,2035418.0,600030
31,2018-02-14,17.167,17.196,17.235,16.904,1036877.0,600030
32,2018-02-22,17.547,17.567,17.674,17.313,1560165.0,600030
33,2018-02-23,17.655,17.743,17.996,17.489,1585053.0,600030
34,2018-02-26,17.947,18.191,18.416,17.567,2119920.0,600030
35,2018-02-27,18.142,17.801,18.152,17.694,1550422.0,600030
36,2018-02-28,17.606,17.665,17.908,17.352,1585728.0,600030
37,2018-03-01,17.45,17.684,17.801,17.362,1115791.0,600030
38,2018-03-02,17.46,17.391,17.684,17.372,899891.0,600030
39,2018-03-05,17.391,17.43,17.626,17.372,694798.0,600030
40,2018-03-06,17.587,17.967,18.016,17.44,1772032.0,600030
41,2018-03-07,17.85,17.821,18.201,17.752,1275174.0,600030
42,2018-03-08,17.85,17.938,17.957,17.713,797843.0,600030
43,2018-03-09,17.996,18.396,18.484,17.889,1673599.0,600030
44,2018-03-12,18.581,18.825,18.952,18.435,1913708.0,600030
45,2018-03-13,18.728,18.484,18.747,18.425,1096966.0,600030
46,2018-03-14,18.328,18.24,18.542,18.182,885779.0,600030
47,2018-03-15,18.142,18.338,18.425,18.103,777289.0,600030
48,2018-03-16,18.308,17.889,18.474,17.85,1039978.0,600030
49,2018-03-19,17.928,18.084,18.25,17.752,939978.0,600030
50,2018-03-20,17.879,18.221,18.299,17.791,916879.0,600030
51,2018-03-21,18.24,18.045,18.65,17.996,1503518.0,600030
52,2018-03-22,18.24,18.299,18.659,18.113,1509102.0,600030
53,2018-03-23,17.635,17.265,17.957,17.06,2104342.0,600030
54,2018-03-26,17.021,17.577,17.616,17.021,1105871.0,600030
55,2018-03-27,17.85,17.869,17.977,17.665,1185303.0,600030
56,2018-03-28,17.655,17.421,17.86,17.382,1027639.0,600030
57,2018-03-29,17.577,17.86,17.918,17.372,1444534.0,600030
58,2018-03-30,17.947,18.123,18.201,17.85,1302674.0,600030
59,2018-04-02,18.299,18.464,18.874,18.162,1967082.0,600030
60,2018-04-03,18.211,18.737,18.796,18.172,1777341.0,600030
61,2018-04-04,18.777,18.542,18.903,18.533,1498178.0,600030
62,2018-04-09,18.533,18.864,18.874,18.435,1364115.0,600030
63,2018-04-10,18.913,19.254,19.332,18.796,1885856.0,600030
64,2018-04-11,18.913,18.972,19.157,18.874,1493054.0,600030
65,2018-04-12,18.972,18.64,19.147,18.581,1181393.0,600030
66,2018-04-13,18.777,18.455,18.864,18.435,930450.0,600030
67,2018-04-16,18.338,17.938,18.494,17.908,1232827.0,600030
68,2018-04-17,17.947,17.957,18.377,17.928,1145175.0,600030
69,2018-04-18,18.24,18.328,18.425,17.996,1196789.0,600030
70,2018-04-19,18.289,18.542,18.689,18.25,1059824.0,600030
71,2018-04-20,18.474,17.83,18.474,17.801,1047305.0,600030
72,2018-04-23,17.811,18.074,18.152,17.811,756210.0,600030
73,2018-04-24,18.103,18.767,18.786,18.103,1535187.0,600030
74,2018-04-25,18.64,18.669,18.728,18.494,823930.0,600030
75,2018-04-26,18.737,18.279,18.786,18.23,896618.0,600030
76,2018-04-27,18.474,18.523,18.689,18.289,904609.0,600030
77,2018-05-02,18.894,18.669,18.991,18.591,935466.0,600030
78,2018-05-03,18.591,19.108,19.176,18.572,1529332.0,600030
79,2018-05-04,18.991,18.894,19.167,18.845,914994.0,600030
80,2018-05-07,19.059,19.147,19.235,18.972,1018067.0,600030
81,2018-05-08,19.264,19.45,19.508,19.118,1303963.0,600030
82,2018-05-09,19.401,19.264,19.44,19.176,817700.0,600030
83,2018-05-10,19.313,19.352,19.411,19.069,919648.0,600030
84,2018-05-11,19.352,19.011,19.352,18.991,816376.0,600030
85,2018-05-14,19.03,19.381,19.459,19.03,1152167.0,600030
86,2018-05-15,19.401,19.332,19.44,19.098,784602.0,600030
87,2018-05-16,19.215,19.04,19.332,19.02,725965.0,600030
88,2018-05-17,19.05,18.777,19.118,18.757,675202.0,600030
