date,open,high,low,close,volume,openinterest
2010-01-04,8.149,8.169,7.87,7.88,241922.76,0.0
2010-01-05,7.893,7.943,7.56,7.743,556499.82,0.0
2010-01-06,7.727,7.727,7.551,7.61,412143.13,0.0
2010-01-07,7.61,7.66,7.444,7.527,355336.85,0.0
2010-01-08,7.477,7.56,7.428,7.511,288543.06,0.0
2010-01-11,7.81,7.87,7.404,7.511,442846.02,0.0
2010-01-12,7.501,7.527,7.245,7.461,591795.91,0.0
2010-01-13,7.268,7.278,6.912,6.966,935039.47,0.0
2010-01-14,6.979,7.032,6.846,6.969,521194.74,0.0
2010-01-15,6.986,7.195,6.863,7.122,539508.46,0.0
2010-01-18,7.122,7.231,7.049,7.135,349126.52,0.0
2010-01-19,7.172,7.424,7.165,7.388,650715.14,0.0
2010-01-20,7.384,7.511,7.079,7.105,490835.67,0.0
2010-01-21,7.172,7.577,7.105,7.537,632301.3,0.0
2010-01-22,7.457,7.793,7.271,7.67,882538.96,0.0
2010-01-25,7.511,7.677,7.344,7.374,356058.64,0.0
2010-01-26,7.374,7.507,7.178,7.328,345325.56,0.0
2010-01-27,7.441,7.511,7.212,7.281,401034.76,0.0
2010-01-28,7.245,7.328,7.015,7.228,262132.49,0.0
2010-01-29,7.175,7.428,7.085,7.212,240688.21,0.0
2010-02-01,7.215,7.235,6.979,7.059,283179.91,0.0
2010-02-02,7.065,7.298,7.065,7.102,286733.6,0.0
2010-02-03,7.155,7.504,7.059,7.504,549005.74,0.0
2010-02-04,7.421,7.461,7.315,7.378,303346.03,0.0
2010-02-05,7.185,7.418,7.115,7.311,276174.0,0.0
2010-02-08,7.271,7.338,7.128,7.165,206423.07,0.0
2010-02-09,7.178,7.361,7.155,7.311,248170.26,0.0
2010-02-10,7.378,7.438,7.318,7.404,253839.64,0.0
2010-02-11,7.381,7.428,7.338,7.348,139102.29,0.0
2010-02-12,7.368,7.511,7.368,7.461,188385.63,0.0
2010-02-22,7.414,7.461,7.338,7.344,165777.59,0.0
2010-02-23,7.321,7.328,7.112,7.162,237781.28,0.0
2010-02-24,7.115,7.241,7.052,7.215,231486.45,0.0
2010-02-25,7.202,7.447,7.182,7.361,347878.98,0.0
2010-02-26,7.315,7.517,7.305,7.461,450217.3,0.0
2010-03-02,7.607,7.963,7.607,7.68,684647.27,0.0
2010-03-03,7.68,7.76,7.577,7.743,284111.39,0.0
2010-03-04,7.75,7.853,7.644,7.677,376320.84,0.0
2010-03-05,7.677,7.806,7.66,7.733,291842.1,0.0
2010-03-08,7.75,7.993,7.663,7.926,441053.92,0.0
2010-03-09,7.936,8.066,7.81,7.916,394360.14,0.0
2010-03-10,7.88,8.002,7.76,7.776,211058.84,0.0
2010-03-11,7.826,7.966,7.773,7.863,241218.35,0.0
2010-03-12,7.826,7.826,7.604,7.62,280216.35,0.0
2010-03-15,7.604,7.604,7.378,7.441,189089.95,0.0
2010-03-16,7.441,7.521,7.391,7.494,196848.75,0.0
2010-03-17,7.517,7.71,7.464,7.707,192859.71,0.0
2010-03-18,7.727,7.81,7.637,7.66,218152.2,0.0
2010-03-19,7.66,7.71,7.544,7.657,176614.72,0.0
2010-03-22,7.62,7.783,7.62,7.693,195256.78,0.0
2010-03-23,7.71,7.73,7.547,7.587,159349.45,0.0
2010-03-24,7.594,7.71,7.557,7.577,210982.92,0.0
2010-03-25,7.564,7.567,7.404,7.411,166074.31,0.0
2010-03-26,7.411,7.673,7.368,7.58,223460.79,0.0
2010-03-29,7.63,7.929,7.574,7.83,444163.28,0.0
2010-03-30,7.853,7.903,7.757,7.86,253043.41,0.0
2010-03-31,7.86,7.866,7.67,7.71,305549.5,0.0
2010-04-01,7.733,7.843,7.667,7.776,305158.92,0.0
2010-04-02,7.796,7.81,7.713,7.786,195900.02,0.0
