===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,pe,SmaCross,len,datetime,MovingAverageSimple,len,sma,CrossOver,len,crossover,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-01-02 00:00:00,121.95241008,123.61495296,121.7568168,121.95241008,51629079.0,,647446166.0,SmaCross,1,737426.0,MovingAverageSimple,1,,CrossOver,1,,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2020-01-03 00:00:00,122.93037648,123.51715632,121.95241008,123.2237664,38018810.0,,477053357.0,SmaCross,2,737427.0,MovingAverageSimple,2,,CrossOver,2,,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2020-01-06 00:00:00,122.44139328,123.7127496,121.46342688,121.85461344,41001193.0,,514432551.0,SmaCross,3,737430.0,MovingAverageSimple,3,,CrossOver,3,,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2020-01-07 00:00:00,122.34359664,123.2237664,121.85461344,122.2458,28421482.0,,355811756.0,SmaCross,4,737431.0,MovingAverageSimple,4,,CrossOver,4,,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2020-01-08 00:00:00,121.36563024,121.7568168,119.800884,120.48546048,35240536.0,,434980266.0,SmaCross,5,737432.0,MovingAverageSimple,5,121.95241008,CrossOver,5,,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2020-01-09 00:00:00,121.17003696,121.56122352,120.7788504,120.97444368,26151448.0,,324168061.0,SmaCross,6,737433.0,MovingAverageSimple,6,121.7568168,CrossOver,6,0.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2020-01-10 00:00:00,120.97444368,121.46342688,120.38766384,121.17003696,18321252.0,,226580302.0,SmaCross,7,737434.0,MovingAverageSimple,7,121.346070912,CrossOver,7,0.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2020-01-13 00:00:00,121.2678336,121.36563024,120.38766384,121.36563024,20715566.0,,255982380.0,SmaCross,8,737437.0,MovingAverageSimple,8,121.248274272,CrossOver,8,1.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2020-01-14 00:00:00,121.2678336,124.10393616,121.17003696,121.56122352,29994561.0,,374971640.0,SmaCross,9,737438.0,MovingAverageSimple,9,121.11135897599999,CrossOver,9,0.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2020-01-15 00:00:00,121.36563024,121.7568168,119.800884,119.800884,31897217.0,,392531149.0,SmaCross,10,737439.0,MovingAverageSimple,10,120.97444368,CrossOver,10,-1.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2020-01-16 00:00:00,120.09427392,120.38766384,118.92071424,119.3119008,22454876.0,,274130148.0,SmaCross,11,737440.0,MovingAverageSimple,11,120.641935104,CrossOver,11,0.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
